Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Brain_Putamen_basal_ganglia	7081	29	0.825120997682446	1	ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000166147:ENSG00000166949:ENSG00000103591:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000051108:ENSG00000159579:ENSG00000130164:ENSG00000100982:ENSG00000198026
DEG.down	Brain_Spinal_cord_cervical_c-1	4547	19	0.729817150776715	1	ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000122641:ENSG00000147883:ENSG00000176986:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000138193:ENSG00000166147:ENSG00000166949:ENSG00000103591:ENSG00000136381:ENSG00000159579:ENSG00000198026
DEG.down	Brain_Substantia_nigra	6489	31	0.443661146433987	1	ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000175600:ENSG00000099810:ENSG00000176986:ENSG00000196968:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000134917:ENSG00000166147:ENSG00000166949:ENSG00000103591:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000136378:ENSG00000159579:ENSG00000130164:ENSG00000132801:ENSG00000100982:ENSG00000198026
DEG.down	Breast_Mammary_Tissue	912	9	0.0243711077512171	1	ENSG00000134222:ENSG00000143028:ENSG00000174151:ENSG00000170006:ENSG00000175600:ENSG00000122641:ENSG00000138193:ENSG00000134917:ENSG00000141448
DEG.down	Cells_Cultured_fibroblasts	1713	8	0.539686995221131	1	ENSG00000143028:ENSG00000160712:ENSG00000146477:ENSG00000148660:ENSG00000138193:ENSG00000160584:ENSG00000141448:ENSG00000100985
DEG.down	Cells_EBV-transformed_lymphocytes	2063	11	0.352329884204233	1	ENSG00000134243:ENSG00000160712:ENSG00000026652:ENSG00000148660:ENSG00000122861:ENSG00000108239:ENSG00000160584:ENSG00000166147:ENSG00000189227:ENSG00000136378:ENSG00000100979
DEG.down	Cervix_Ectocervix	2	0	1	1	
DEG.down	Cervix_Endocervix	5	0	1	1	
DEG.down	Colon_Sigmoid	1530	4	0.930335081515273	1	ENSG00000134222:ENSG00000122641:ENSG00000147883:ENSG00000100985
DEG.down	Colon_Transverse	1404	4	0.896575995432812	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000156110
DEG.down	Esophagus_Gastroesophageal_Junction	1406	4	0.897206676992344	1	ENSG00000147883:ENSG00000156110:ENSG00000149968:ENSG00000100985
DEG.down	Esophagus_Mucosa	3122	15	0.475641612068902	1	ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000026652:ENSG00000175600:ENSG00000138193:ENSG00000108239:ENSG00000149968:ENSG00000160584:ENSG00000166147:ENSG00000189227:ENSG00000137764:ENSG00000136378:ENSG00000141448:ENSG00000100985
